m_H,tanb,Br_B_Xs_H,Br_K_pi_H,Br_eta_pi_H,Br_eta_prime_pi_H,Br_pi_semilep,Br_K_semilep,Br_Upsilon_gamma_H,Br_B_Xs_HH,Br_K_pi_HH
1.1090909091e-01,1.8738174229e+01,1.1832792009e-01,3.1374136078e-08,4.4515051218e-13,4.9685208665e-16,1.8785237466e-14,7.6706013187e-11,5.3927738112e-13,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.0092330026e+01,1.0291207101e-01,2.7287122665e-08,2.9282488509e-13,3.2683474735e-16,1.6338441550e-14,6.6714978464e-11,3.5474257097e-13,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.1544346900e+01,8.9505007429e-02,2.3732568407e-08,1.9262808939e-13,2.1500069200e-16,1.4210343242e-14,5.8025285979e-11,2.3335920938e-13,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.3101297001e+01,7.7844875073e-02,2.0641090497e-08,1.2671861214e-13,1.4143622244e-16,1.2359431862e-14,5.0467434606e-11,1.5351320380e-13,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.4770763560e+01,6.7703976943e-02,1.7952350438e-08,8.3362198140e-14,9.3044219788e-17,1.0749603535e-14,4.3894000914e-11,1.0098909620e-13,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.6560877829e+01,5.8884312044e-02,1.5613874292e-08,5.4840932142e-14,6.1210379014e-17,9.3494569528e-15,3.8176763516e-11,6.6437021760e-14,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,2.8480358684e+01,5.1213698177e-02,1.3580027005e-08,3.6078337335e-14,4.0268620831e-17,8.1316808597e-15,3.3204201991e-11,4.3707084999e-14,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,3.0538555088e+01,4.4542401979e-02,1.1811120648e-08,2.3735229401e-14,2.6491934599e-17,7.0725213174e-15,2.8879321564e-11,2.8754032629e-14,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,3.2745491629e+01,3.8740209617e-02,1.0272639040e-08,1.5615104726e-14,1.7428705919e-17,6.1513183618e-15,2.5117761127e-11,1.8916911365e-14,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,3.5111917342e+01,3.3693880313e-02,8.9345635538e-09,1.0273071831e-14,1.1466227794e-17,5.3501030099e-15,2.1846147688e-11,1.2445308096e-14,4.0968818364e-05,1.3974587897e-06
1.1090909091e-01,3.7649358068e+01,2.9304932532e-02,7.7707868724e-09,6.7586380371e-15,7.5436134965e-18,4.6532467568e-15,1.9000665163e-11,8.1877489093e-15,4.0968818364e-05,1.3974587897e-06
